trial_id,label
sub_21_1_00,2
sub_21_1_01,2
sub_21_1_02,2
sub_21_1_03,2
sub_21_1_04,2
sub_21_1_05,2
sub_21_1_06,2
sub_21_1_07,2
sub_21_1_08,2
sub_21_1_09,2
sub_21_1_10,2
sub_21_1_11,2
sub_21_1_12,2
sub_21_1_13,2
sub_21_1_14,2
sub_21_1_15,2
sub_21_1_16,2
sub_21_1_17,2
sub_21_1_18,2
sub_21_1_19,2
sub_21_1_20,2
sub_21_1_21,2
sub_21_1_22,2
sub_21_1_23,2
sub_21_1_24,2
sub_21_1_25,2
sub_21_1_26,2
sub_21_1_27,2
sub_21_1_28,2
sub_21_1_29,2
sub_21_1_30,2
sub_21_1_31,2
sub_21_1_32,2
sub_21_1_33,2
sub_21_1_34,2
sub_21_1_35,2
sub_21_2_00,2
sub_21_2_01,2
sub_21_2_02,2
sub_21_2_03,2
sub_21_2_04,2
sub_21_2_05,2
sub_21_2_06,2
sub_21_2_07,2
sub_21_2_08,2
sub_21_2_09,2
sub_21_2_10,2
sub_21_2_11,2
sub_21_2_12,2
sub_21_2_13,2
sub_21_2_14,2
sub_21_2_15,2
sub_21_2_16,2
sub_21_2_17,2
sub_21_2_18,2
sub_21_2_19,2
sub_21_2_20,2
sub_21_2_21,2
sub_21_2_22,2
sub_21_2_23,2
sub_21_2_24,2
sub_21_2_25,2
sub_21_2_26,2
sub_21_2_27,2
sub_21_2_28,2
sub_21_2_29,2
sub_21_2_30,2
sub_21_2_31,2
sub_21_2_32,2
sub_21_2_33,2
sub_21_2_34,2
sub_21_2_35,2
sub_21_3_00,0
sub_21_3_01,0
sub_21_3_02,0
sub_21_3_03,0
sub_21_3_04,0
sub_21_3_05,0
sub_21_3_06,0
sub_21_3_07,0
sub_21_3_08,0
sub_21_3_09,0
sub_21_3_10,0
sub_21_3_11,0
sub_21_3_12,0
sub_21_3_13,0
sub_21_3_14,0
sub_21_3_15,0
sub_21_3_16,0
sub_21_3_17,0
sub_21_3_18,0
sub_21_3_19,0
sub_21_3_20,0
sub_21_3_21,0
sub_21_3_22,0
sub_21_3_23,0
sub_21_3_24,0
sub_21_3_25,0
sub_21_3_26,0
sub_21_3_27,0
sub_21_3_28,0
sub_21_3_29,0
sub_21_3_30,0
sub_21_3_31,0
sub_21_3_32,0
sub_21_3_33,0
sub_21_3_34,0
sub_21_3_35,0
sub_21_4_00,3
sub_21_4_01,3
sub_21_4_02,3
sub_21_4_03,3
sub_21_4_04,3
sub_21_4_05,3
sub_21_4_06,3
sub_21_4_07,3
sub_21_4_08,3
sub_21_4_09,3
sub_21_4_10,3
sub_21_4_11,3
sub_21_4_12,3
sub_21_4_13,3
sub_21_4_14,3
sub_21_4_15,3
sub_21_4_16,3
sub_21_4_17,3
sub_21_4_18,3
sub_21_4_19,3
sub_21_4_20,3
sub_21_4_21,3
sub_21_4_22,3
sub_21_4_23,3
sub_21_4_24,3
sub_21_4_25,3
sub_21_4_26,3
sub_21_4_27,3
sub_21_4_28,3
sub_21_4_29,3
sub_21_4_30,3
sub_21_4_31,3
sub_21_4_32,3
sub_21_4_33,3
sub_21_4_34,3
sub_21_4_35,3
sub_21_5_00,0
sub_21_5_01,0
sub_21_5_02,0
sub_21_5_03,0
sub_21_5_04,0
sub_21_5_05,0
sub_21_5_06,0
sub_21_5_07,0
sub_21_5_08,0
sub_21_5_09,0
sub_21_5_10,0
sub_21_5_11,0
sub_21_5_12,0
sub_21_5_13,0
sub_21_5_14,0
sub_21_5_15,0
sub_21_5_16,0
sub_21_5_17,0
sub_21_5_18,0
sub_21_5_19,0
sub_21_5_20,0
sub_21_5_21,0
sub_21_5_22,0
sub_21_5_23,0
sub_21_5_24,0
sub_21_5_25,0
sub_21_5_26,0
sub_21_5_27,0
sub_21_5_28,0
sub_21_5_29,0
sub_21_5_30,0
sub_21_5_31,0
sub_21_5_32,0
sub_21_5_33,0
sub_21_5_34,0
sub_21_5_35,0
sub_21_6_00,0
sub_21_6_01,0
sub_21_6_02,0
sub_21_6_03,0
sub_21_6_04,0
sub_21_6_05,0
sub_21_6_06,0
sub_21_6_07,0
sub_21_6_08,0
sub_21_6_09,0
sub_21_6_10,0
sub_21_6_11,0
sub_21_6_12,0
